id,y
7000,0
7001,0
7002,1
7003,1
7004,1
7005,1
7006,0
7007,0
7008,0
7009,1
7010,1
7011,0
7012,0
7013,1
7014,0
7015,1
7016,1
7017,1
7018,1
7019,0
7020,1
7021,0
7022,1
7023,1
7024,0
7025,1
7026,1
7027,1
7028,0
7029,1
7030,1
7031,1
7032,1
7033,0
7034,0
7035,0
7036,1
7037,0
7038,1
7039,0
7040,1
7041,0
7042,1
7043,1
7044,0
7045,0
7046,1
7047,1
7048,0
7049,0
7050,0
7051,0
7052,1
7053,0
7054,1
7055,1
7056,0
7057,0
7058,0
7059,1
7060,0
7061,0
7062,1
7063,1
7064,0
7065,1
7066,1
7067,0
7068,1
7069,1
7070,0
7071,0
7072,1
7073,1
7074,0
7075,1
7076,1
7077,1
7078,0
7079,0
7080,1
7081,1
7082,0
7083,1
7084,0
7085,1
7086,1
7087,1
7088,0
7089,1
7090,1
7091,0
7092,1
7093,0
7094,1
7095,1
7096,0
7097,1
7098,1
7099,1
7100,0
7101,1
7102,1
7103,0
7104,0
7105,0
7106,0
7107,1
7108,1
7109,0
7110,0
7111,1
7112,1
7113,1
7114,1
7115,0
7116,1
7117,0
7118,1
7119,0
7120,0
7121,0
7122,0
7123,0
7124,0
7125,0
7126,1
7127,1
7128,0
7129,0
7130,1
7131,1
7132,0
7133,1
7134,1
7135,1
7136,0
7137,1
7138,0
7139,1
7140,0
7141,1
7142,0
7143,0
7144,0
7145,0
7146,1
7147,1
7148,1
7149,1
7150,0
7151,0
7152,0
7153,1
7154,1
7155,1
7156,0
7157,1
7158,0
7159,1
7160,0
7161,1
7162,1
7163,0
7164,0
7165,1
7166,1
7167,0
7168,1
7169,1
7170,1
7171,1
7172,1
7173,1
7174,1
7175,1
7176,1
7177,0
7178,0
7179,0
7180,0
7181,0
7182,0
7183,1
7184,0
7185,1
7186,1
7187,0
7188,1
7189,0
7190,1
7191,1
7192,1
7193,1
7194,0
7195,1
7196,0
7197,1
7198,1
7199,0
7200,0
7201,1
7202,0
7203,1
7204,0
7205,0
7206,1
7207,0
7208,0
7209,1
7210,0
7211,1
7212,1
7213,0
7214,0
7215,0
7216,0
7217,1
7218,1
7219,0
7220,0
7221,0
7222,0
7223,1
7224,0
7225,1
7226,1
7227,1
7228,0
7229,1
7230,0
7231,1
7232,1
7233,1
7234,0
7235,0
7236,1
7237,0
7238,0
7239,0
7240,0
7241,0
7242,1
7243,1
7244,0
7245,1
7246,1
7247,1
7248,1
7249,1
7250,1
7251,0
7252,1
7253,1
7254,0
7255,1
7256,0
7257,0
7258,1
7259,0
7260,1
7261,1
7262,1
7263,1
7264,1
7265,0
7266,0
7267,1
7268,0
7269,1
7270,1
7271,1
7272,1
7273,1
7274,1
7275,0
7276,1
7277,0
7278,1
7279,0
7280,0
7281,1
7282,1
7283,0
7284,0
7285,1
7286,1
7287,1
7288,1
7289,0
7290,1
7291,1
7292,1
7293,0
7294,1
7295,0
7296,1
7297,0
7298,0
7299,1
7300,0
7301,0
7302,0
7303,1
7304,1
7305,1
7306,0
7307,0
7308,1
7309,0
7310,1
7311,0
7312,0
7313,0
7314,0
7315,1
7316,0
7317,0
7318,0
7319,1
7320,1
7321,0
7322,1
7323,1
7324,1
7325,1
7326,0
7327,0
7328,1
7329,1
7330,1
7331,0
7332,1
7333,1
7334,0
7335,1
7336,1
7337,1
7338,0
7339,1
7340,0
7341,0
7342,1
7343,1
7344,0
7345,1
7346,0
7347,1
7348,1
7349,0
7350,0
7351,1
7352,1
7353,1
7354,0
7355,1
7356,0
7357,0
7358,1
7359,0
7360,1
7361,1
7362,0
7363,0
7364,0
7365,1
7366,0
7367,1
7368,1
7369,0
7370,1
7371,1
7372,1
7373,0
7374,1
7375,0
7376,0
7377,0
7378,0
7379,0
7380,1
7381,1
7382,0
7383,1
7384,1
7385,0
7386,0
7387,0
7388,1
7389,1
7390,0
7391,1
7392,1
7393,0
7394,0
7395,1
7396,0
7397,0
7398,1
7399,1
7400,0
7401,1
7402,0
7403,0
7404,1
7405,0
7406,0
7407,1
7408,0
7409,0
7410,1
7411,0
7412,1
7413,1
7414,1
7415,1
7416,1
7417,0
7418,1
7419,1
7420,1
7421,0
7422,1
7423,0
7424,0
7425,1
7426,1
7427,1
7428,1
7429,0
7430,1
7431,0
7432,0
7433,1
7434,0
7435,1
7436,1
7437,1
7438,1
7439,0
7440,1
7441,0
7442,0
7443,0
7444,1
7445,0
7446,1
7447,0
7448,0
7449,0
7450,1
7451,0
7452,1
7453,0
7454,0
7455,1
7456,0
7457,0
7458,0
7459,1
7460,0
7461,0
7462,1
7463,0
7464,0
7465,0
7466,0
7467,1
7468,1
7469,0
7470,0
7471,1
7472,0
7473,1
7474,1
7475,0
7476,0
7477,1
7478,0
7479,0
7480,0
7481,0
7482,0
7483,0
7484,1
7485,1
7486,1
7487,1
7488,1
7489,1
7490,0
7491,0
7492,1
7493,0
7494,1
7495,1
7496,1
7497,1
7498,1
7499,1
7500,0
7501,0
7502,0
7503,0
7504,1
7505,1
7506,0
7507,0
7508,0
7509,0
7510,0
7511,0
7512,1
7513,0
7514,1
7515,0
7516,0
7517,1
7518,1
7519,1
7520,1
7521,0
7522,1
7523,0
7524,0
7525,0
7526,1
7527,1
7528,0
7529,0
7530,1
7531,1
7532,0
7533,0
7534,1
7535,0
7536,0
7537,1
7538,0
7539,0
7540,1
7541,0
7542,0
7543,1
7544,1
7545,1
7546,1
7547,1
7548,0
7549,0
7550,0
7551,1
7552,1
7553,0
7554,0
7555,0
7556,1
7557,1
7558,1
7559,0
7560,1
7561,0
7562,0
7563,0
7564,1
7565,0
7566,0
7567,0
7568,0
7569,1
7570,1
7571,0
7572,0
7573,1
7574,1
7575,0
7576,0
7577,0
7578,0
7579,1
7580,1
7581,0
7582,0
7583,0
7584,0
7585,0
7586,1
7587,0
7588,0
7589,0
7590,0
7591,1
7592,0
7593,0
7594,0
7595,0
7596,1
7597,1
7598,0
7599,0
7600,1
7601,1
7602,1
7603,1
7604,0
7605,1
7606,0
7607,1
7608,0
7609,0
7610,1
7611,0
7612,1
7613,1
7614,0
7615,1
7616,0
7617,0
7618,0
7619,0
7620,1
7621,1
7622,0
7623,0
7624,1
7625,1
7626,1
7627,1
7628,1
7629,0
7630,0
7631,1
7632,1
7633,0
7634,0
7635,1
7636,0
7637,0
7638,1
7639,0
7640,1
7641,1
7642,1
7643,1
7644,1
7645,1
7646,1
7647,1
7648,0
7649,1
7650,0
7651,0
7652,1
7653,1
7654,0
7655,0
7656,0
7657,0
7658,0
7659,1
7660,1
7661,0
7662,1
7663,1
7664,1
7665,1
7666,0
7667,1
7668,0
7669,1
7670,0
7671,0
7672,1
7673,0
7674,1
7675,0
7676,0
7677,1
7678,1
7679,1
7680,0
7681,1
7682,0
7683,0
7684,1
7685,1
7686,1
7687,1
7688,0
7689,1
7690,1
7691,0
7692,1
7693,1
7694,0
7695,1
7696,1
7697,0
7698,1
7699,1
7700,1
7701,0
7702,0
7703,0
7704,0
7705,1
7706,0
7707,0
7708,1
7709,0
7710,1
7711,0
7712,1
7713,1
7714,0
7715,1
7716,1
7717,0
7718,0
7719,1
7720,1
7721,1
7722,0
7723,1
7724,1
7725,0
7726,0
7727,0
7728,1
7729,0
7730,0
7731,0
7732,1
7733,0
7734,1
7735,0
7736,0
7737,1
7738,1
7739,1
7740,1
7741,1
7742,0
7743,1
7744,1
7745,0
7746,0
7747,0
7748,0
7749,1
7750,0
7751,0
7752,0
7753,1
7754,1
7755,1
7756,0
7757,1
7758,0
7759,0
7760,0
7761,1
7762,1
7763,1
7764,1
7765,1
7766,1
7767,0
7768,1
7769,0
7770,1
7771,0
7772,1
7773,0
7774,1
7775,1
7776,1
7777,1
7778,0
7779,0
7780,1
7781,1
7782,0
7783,0
7784,1
7785,1
7786,1
7787,1
7788,0
7789,1
7790,0
7791,0
7792,1
7793,1
7794,0
7795,1
7796,0
7797,0
7798,0
7799,0
7800,0
7801,0
7802,1
7803,1
7804,0
7805,0
7806,1
7807,0
7808,1
7809,1
7810,0
7811,1
7812,0
7813,0
7814,1
7815,1
7816,0
7817,1
7818,0
7819,0
7820,0
7821,0
7822,0
7823,0
7824,1
7825,0
7826,1
7827,1
7828,1
7829,0
7830,0
7831,0
7832,1
7833,1
7834,0
7835,0
7836,0
7837,1
7838,0
7839,0
7840,0
7841,1
7842,0
7843,0
7844,0
7845,0
7846,1
7847,1
7848,0
7849,1
7850,0
7851,1
7852,0
7853,0
7854,1
7855,0
7856,0
7857,0
7858,0
7859,0
7860,1
7861,0
7862,0
7863,0
7864,1
7865,1
7866,0
7867,1
7868,1
7869,0
7870,1
7871,1
7872,1
7873,0
7874,0
7875,1
7876,0
7877,1
7878,0
7879,1
7880,0
7881,0
7882,1
7883,1
7884,0
7885,1
7886,0
7887,1
7888,1
7889,1
7890,1
7891,0
7892,0
7893,1
7894,1
7895,0
7896,0
7897,1
7898,0
7899,0
7900,0
7901,1
7902,0
7903,1
7904,1
7905,1
7906,0
7907,1
7908,1
7909,0
7910,1
7911,1
7912,1
7913,1
7914,1
7915,0
7916,1
7917,1
7918,1
7919,0
7920,1
7921,1
7922,0
7923,0
7924,0
7925,1
7926,1
7927,0
7928,0
7929,1
7930,0
7931,0
7932,1
7933,1
7934,1
7935,1
7936,0
7937,1
7938,1
7939,1
7940,1
7941,1
7942,0
7943,1
7944,0
7945,0
7946,1
7947,1
7948,0
7949,0
7950,1
7951,0
7952,1
7953,0
7954,0
7955,1
7956,0
7957,0
7958,0
7959,0
7960,1
7961,0
7962,1
7963,0
7964,1
7965,0
7966,1
7967,0
7968,1
7969,0
7970,0
7971,0
7972,0
7973,0
7974,1
7975,0
7976,1
7977,0
7978,0
7979,0
7980,1
7981,0
7982,0
7983,1
7984,1
7985,1
7986,0
7987,1
7988,0
7989,0
7990,0
7991,1
7992,0
7993,0
7994,1
7995,1
7996,0
7997,1
7998,0
7999,0
8000,0
8001,1
8002,0
8003,1
8004,0
8005,0
8006,0
8007,1
8008,0
8009,1
8010,0
8011,1
8012,0
8013,1
8014,0
8015,0
8016,0
8017,0
8018,1
8019,0
8020,1
8021,1
8022,1
8023,1
8024,0
8025,0
8026,1
8027,1
8028,1
8029,0
8030,1
8031,0
8032,0
8033,0
8034,1
8035,0
8036,1
8037,0
8038,1
8039,0
8040,0
8041,0
8042,1
8043,0
8044,1
8045,0
8046,0
8047,1
8048,0
8049,1
8050,1
8051,1
8052,1
8053,1
8054,1
8055,0
8056,0
8057,0
8058,0
8059,0
8060,1
8061,1
8062,0
8063,1
8064,1
8065,1
8066,1
8067,0
8068,0
8069,0
8070,0
8071,0
8072,0
8073,1
8074,1
8075,0
8076,1
8077,1
8078,0
8079,1
8080,0
8081,1
8082,0
8083,1
8084,1
8085,0
8086,1
8087,0
8088,0
8089,1
8090,1
8091,0
8092,1
8093,0
8094,0
8095,0
8096,1
8097,0
8098,1
8099,0
8100,0
8101,1
8102,0
8103,0
8104,0
8105,0
8106,1
8107,0
8108,1
8109,1
8110,0
8111,1
